Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,,NAS,KOS
5/8/2017,638.359985,643.390015,638.090027,643.390015,643.390015,550900,,5/8/2017,6100.660156,6106.120117,6083.060059,6102.660156,6102.660156,1909710000,,,2,15
5/10/2017,645.700012,645.700012,641.539978,642.679993,642.679993,768700,,5/10/2017,6121.640137,6131.640137,6103.870117,6129.140137,6129.140137,2108000000,,,20,39
5/11/2017,644.440002,647.580017,643.349976,647.580017,647.580017,731400,,5/11/2017,6110.049805,6120.200195,6075.680176,6115.959961,6115.959961,1950910000,,,68,81
5/12/2017,648.559998,648.559998,642.960022,643.72998,643.72998,762400,,5/12/2017,6119.27002,6122.839844,6105.419922,6121.22998,6121.22998,1740960000,,,94,131
5/15/2017,644.590027,646.309998,642.789978,645.380005,645.380005,699800,,5/15/2017,6128.109863,6153.040039,6124.790039,6149.669922,6149.669922,1850790000,,,99-104,163
5/16/2017,646.5,646.5,638.429993,639.109985,639.109985,723800,,5/16/2017,6160.52002,6170.160156,6139.100098,6169.870117,6169.870117,1999330000,,,149,185
5/17/2017,640.869995,641.47998,638.929993,640.01001,640.01001,624400,,5/17/2017,6108.620117,6122.870117,6009.47998,6011.240234,6011.240234,2347480000,,,154,212
5/18/2017,633.400024,638.159973,633.140015,638.119995,638.119995,785400,,5/18/2017,5998.459961,6073.450195,5996.810059,6055.129883,6055.129883,2131520000,,,185,
5/19/2017,640.330017,643.059998,639.169983,642.450012,642.450012,726600,,5/19/2017,6070.22998,6106.549805,6070.22998,6083.700195,6083.700195,1905520000,,,186,
5/22/2017,645.039978,645.159973,641.599976,642.619995,642.619995,753200,,5/22/2017,6098.25,6135.919922,6097.240234,6133.620117,6133.620117,1726230000,,,192,
5/23/2017,644.590027,645.440002,644,644.72998,644.72998,800700,,5/23/2017,6149.549805,6150.910156,6121.790039,6138.709961,6138.709961,1705860000,,,233,
5/24/2017,646.440002,648.049988,645.030029,646.039978,646.039978,844300,,5/24/2017,6154.180176,6166.089844,6139.330078,6163.02002,6163.02002,1666050000,,,,
5/25/2017,648.25,648.289978,642.869995,643.02002,643.02002,766900,,5/25/2017,6183.02002,6217.339844,6174.52002,6205.259766,6205.259766,1767690000,,,,
5/26/2017,644.969971,646.450012,644.299988,646.01001,646.01001,656900,,5/26/2017,6207.040039,6211.52002,6196.660156,6210.189941,6210.189941,1571040000,,,,
5/30/2017,645.090027,649.090027,644.340027,649.059998,649.059998,599200,,5/30/2017,6204.180176,6217.129883,6200.410156,6203.189941,6203.189941,1688480000,,,,
5/31/2017,650.51001,652.52002,649.51001,652.039978,652.039978,664000,,5/31/2017,6221.629883,6221.990234,6164.069824,6198.52002,6198.52002,2209400000,,,,
6/1/2017,653.570007,654.22998,651.099976,653.830017,653.830017,670500,,6/1/2017,6215.910156,6247.069824,6200.450195,6246.830078,6246.830078,1943610000,,,,
